Timestep Origin,Integrated ACF
2000,452046664.2587099
4000,422966914.57489
6000,422832842.78386664
8000,425527880.50850666
10000,408367128.05357337
12000,413035748.2623399
14000,416735841.5343
16000,430809388.30019
18000,440208224.23945
20000,435623004.50628996
22000,416051683.01771665
24000,393833309.7816333
26000,383238046.07053673
28000,381068877.1132433
30000,383289946.2544099
32000,392991694.2200267
34000,410898222.45584995
36000,428174727.3028567
38000,436874978.8690234
40000,434822397.41367
42000,424138859.77269334
44000,408088053.57314
46000,392735793.42455006
48000,377415174.64611673
50000,365131208.4592
52000,358137142.80240667
54000,353026683.7691633
56000,351273393.52890664
58000,349736402.0373533
60000,345350754.3133734
62000,340792421.5638034
64000,334074836.5950634
66000,325473718.44864
68000,316024948.1709667
70000,307977844.64174664
72000,300032539.96025
74000,292377662.69515336
76000,285594879.2798434
78000,281897035.8035433
80000,278967245.7106833
82000,274439660.63217
84000,269466434.6634433
86000,263801955.73353335
88000,258493810.3425167
90000,253805999.87749332
92000,250435085.04938662
94000,247498236.82494664
96000,244515707.20002666
98000,241103610.59462
100000,239033140.90791333
102000,239702444.66652334
104000,239989928.89846
106000,237296823.47779667
108000,233920364.0342367
110000,232000020.34818664
112000,232966398.62776
114000,235612426.46448335
116000,242063763.40192664
118000,247427314.3225467
120000,251046445.80763665
122000,253688178.09568334
124000,254410647.28397
126000,259123707.24736997
128000,266493011.8988167
130000,270061413.44862
132000,268344370.42625335
134000,265448431.60191998
136000,263288486.4659133
138000,261400450.14383334
140000,258902623.51327336
142000,256045729.28730667
144000,252543164.74491334
146000,249263651.71059
148000,246157732.49311998
150000,242970268.31323335
152000,240230941.74549
154000,238001104.63624
156000,236420190.35089996
158000,235188606.27967
160000,234015965.44605666
162000,231845419.90586662
164000,229791461.27944663
166000,228299978.5341633
168000,225799532.0139
170000,223387606.14454997
172000,221756343.8856033
174000,220861469.70580667
176000,219186795.35914332
178000,216950295.86874664
180000,214689554.86464664
182000,212712140.63268334
184000,210726858.70761338
186000,209184283.1133933
188000,208088517.94896665
190000,206741995.33304667
192000,205209079.91440666
194000,204519252.16752335
196000,203961307.79844669
198000,205201080.8868133
200000,205880056.26660666
202000,206550399.23153335
204000,208273184.66717333
206000,209740594.8019267
208000,212295498.17468667
210000,216752967.63379
212000,219587453.55353668
214000,220570716.27894998
216000,221619080.21848
218000,222317315.51155335
220000,224141143.81317332
222000,225876500.37035
224000,228205912.69755664
226000,230584861.30100003
228000,231906664.12638667
230000,232173903.93381003
232000,232126913.11145
234000,231467338.33656332
236000,229921754.15542334
238000,228318787.58947998
240000,227465625.00752
242000,226569507.7929
244000,226027385.39528003
246000,226058081.88314998
248000,225761472.9299467
250000,225235706.9430133
252000,224531919.62815002
254000,224331666.90651
256000,223900291.68772334
258000,223893559.60115996
260000,223653161.1685
262000,223572236.82516667
264000,222955507.04046
266000,222207821.46460664
268000,221691658.52434334
270000,222613126.8495367
272000,224565760.05188665
274000,225284991.61476
276000,225660741.6026767
278000,226285326.79336
280000,227047206.76317665
282000,227275368.98383006
284000,228132508.54048336
286000,228854698.54425332
288000,229862410.96984
290000,231304263.94771335
292000,232681557.47450662
294000,233181636.11440665
296000,233788376.27391332
298000,234550402.9711667
300000,235265583.50772
302000,235770033.30400667
304000,237557568.67046332
306000,240190669.69571334
308000,241759477.25263667
310000,242631353.05736998
312000,243560148.02799997
314000,244175253.86408007
316000,244986858.39023665
